,x,y,z
Lower wishbone front pivot,41.97732,6.20273,2.54585
Lower wishbone rear pivot,32.68492,6.20273,0.57069
Lower wishbone outer ball joint,36.60596,25.44417,-2.2447
Upper wishbone front pivot,45.95,7.19668,9.22495
Upper wishbone rear pivot,30.77775,7.19668,6
Upper wishbone outer ball joint,36.12128,23.75463,4.3127
Damper wishbone end,34.88261,18.87014,0.09134
Damper body end,31.97899,9.56464,17.09535
Outer track rod ball joint,38.1135,25.60212,2.6698
Inner track rod ball joint,42.93492,6.923,6.97754
Upper spring pivot point,31.97899,9.56464,17.09535
Lower spring pivot point,34.88261,18.87014,0.09134
Wheel spindle point,36.65241,24.837,0.51842
Wheel centre point,36.65241,28.154,0.51842
Outer axle joint,36.65241,24.837,0.51842
Inner axle joint,37.57732,5.70276,4.54585
,,,
Steering rack,1.3,,
Shock bump from ride,6.1,,
Shock droop from ride,1.9,,
Wheel size,23,,
Shock lower mount,1,,
