,x,y,z
Lower wishbone front pivot,41.97732,6.20273,2.54585
Lower wishbone rear pivot,30.2395,6.20273,0.05092
Lower wishbone outer ball joint,36.6069,25.5207,-2.2495
Upper wishbone front pivot,45.95,7.19668,9.22495
Upper wishbone rear pivot,30.77775,7.19668,6
Upper wishbone outer ball joint,36.3195,23.8775,4.3483
Damper wishbone end,34.4099,20.29075,0.8719
Damper body end,31.97899,9.56464,17.09535
Outer track rod ball joint,38.2644,25.7128,2.6152
Inner track rod ball joint,42.93492,6.9138,6.9236
Upper spring pivot point,31.97899,9.56464,17.09535
Lower spring pivot point,34.4099,20.29075,0.8719
Wheel spindle point,36.4882,24.837,0.5
Wheel centre point,36.4882,28.154,0.5
Outer axle joint,36.4882,24.837,0.5
Inner axle joint,37.57732,5.70276,4.54585
,,,
Steering rack,1.3,,
Shock bump from ride,5.01,,
Shock droop from ride,2.99,,
Wheel size,23,,
Shock lower mount,1,,
