,x,y,z
Lower wishbone front pivot,41.97732,6.20273,2.54585
Lower wishbone rear pivot,30.2395,6.20273,0.05092
Lower wishbone outer ball joint,36.6059,25.44417,-2.2447
Upper wishbone front pivot,45.95,7.19668,9.12495
Upper wishbone rear pivot,30.77775,7.19668,5.9
Upper wishbone outer ball joint,36.12128,23.7546,4.31274
Damper wishbone end,34.7052,20.3014,0.9259
Damper body end,31.97899,9.56464,17.09535
Outer track rod ball joint,38.1135,25.602,2.6698
Inner track rod ball joint,42.93492,6.9138,6.9236
Upper spring pivot point,31.97899,9.56464,17.09535
Lower spring pivot point,34.7052,20.3014,0.9259
Wheel spindle point,36.6524,24.837,0.51842
Wheel centre point,36.6524,28.1,0.518427
Outer axle joint,36.6524,24.837,0.51842
Inner axle joint,37.57732,5.70276,4.54585
,,,
Steering rack,1.3,,
Shock bump from ride,5.01,,
Shock droop from ride,2.99,,
Wheel size,23,,
Shock lower mount,1,,
Wheelbase,58,,
