,x,y,z
Lower wishbone front pivot,-1.6005,12.1419,3.86968
Lower wishbone rear pivot,-29.8432,4.0769,1.3
Lower wishbone outer ball joint,-21.4433,23.7648,-2.633
Upper wishbone front pivot,-3.0134,13.5368,7.99557
Upper wishbone rear pivot,-29.9155,4.0539,5.5
Upper wishbone outer ball joint,-21.4936,22.5667,3.1436
Damper wishbone end,-19.8947,17.8909,1.1135
Damper body end,-24.1135,9.5086,19.1148
Outer track rod ball joint,-23.7205,23.115,0.4804
Inner track rod ball joint,-29.5,4.475,3.7
Upper spring pivot point,-24.1135,9.5086,19.1148
Lower spring pivot point,-19.8947,17.8909,1.1135
Wheel spindle point,-21.4706,23.115,0.5
Wheel centre point,-21.4706,26,0.5
Outer axle joint,-21.4706,23.115,0.5
Inner axle joint,-24.8753,5.1503,4.22205
,,,
Steering rack,0,,
Shock bump from ride,4.71,,
Shock droop from ride,4.29,,
Wheel size,23,,
Shock lower mount,1,,
Wheelbase,58,,
