,x,y,z
Lower wishbone front pivot,-16.60236,11.74803,2.47244
Lower wishbone rear pivot,-42.59252,4.32744,0.19701
Lower wishbone outer ball joint,-38.4198,23.77409,-2.59579
Upper wishbone front pivot,-16.83071,13.33858,6.26378
Upper wishbone rear pivot,-42.59252,5.03913,4.01043
Upper wishbone outer ball joint,-38.46646,22.57429,3.73035
Damper wishbone end,-35.29028,15.90551,0.66535
Damper body end,-36.35433,9.42913,18.24803
Outer track rod ball joint,-40.80921,23.30709,0.5
Inner track rod ball joint,-42.59252,5.19685,2.24409
Upper spring pivot point,-36.35433,9.42913,18.24803
Lower spring pivot point,-35.29028,15.90551,0.66535
Wheel spindle point,-38.44331,23.18693,0.5
Wheel centre point,-38.44331,26.4024,0.5
Outer axle joint,-38.44331,23.18693,0.5
Inner axle joint,-39.08268,3.14961,3.00189
,,,
Steering rack,XXXX,,
Shock bump from ride,XXXX,,
Shock droop from ride,XXXX,,
Wheel size,XXXX,,
Shock lower mount,XXXX,,
Wheelbase,XXXX,,
